trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.046902500092983246,,0.016375700011849403,5,0.046902500092983246,0.046902500092983246,0.034581099869683385,4.589835100108758,[-0.152],[0.38],[1],[0],[0],[4.554350199876353],[],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
1,0,1,0,4.635828600032255,,4.593157900031656,10,4.635828600032255,4.635828600032255,0.021555199986323714,10.26111329998821,[-0.046],[-0.026],[1],[0],[0],[5.646382699953392],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
2,0,2,0,10.292266699951142,,10.263296500081196,5,10.292266699951142,10.292266699951142,0.010744899976998568,12.897748100105673,[-0.244],[-0.316],[1],[0],[0],[2.6238350002095103],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
3,0,3,0,12.9281182999257,,12.900132100097835,5,12.9281182999257,12.9281182999257,0.01426189998164773,14.649604400154203,[0.356],[-0.014],[1],[0],[0],[1.735257200198248],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
4,0,4,0,14.696981800021604,,14.652605300070718,10,14.696981800021604,14.696981800021604,0.022087099961936474,17.786390700144693,[0.372],[0.434],[1],[0],[0],[3.111863800091669],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
5,0,5,0,17.83359279995784,,17.788572899997234,10,17.83359279995784,17.83359279995784,0.02317669987678528,20.42207460012287,[0.272],[0.23],[1],[0],[0],[2.6102505999151617],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
6,0,6,0,20.470057500060648,,20.424264300148934,10,20.470057500060648,20.470057500060648,0.02196469996124506,23.191566300112754,[0.06],[-0.146],[1],[0],[0],[2.7453180998563766],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
7,0,7,0,23.222863800125197,,23.193743200041354,5,23.222863800125197,23.222863800125197,0.010609300108626485,24.827564400155097,[-0.152],[-0.234],[1],[0],[0],[1.6232108999975026],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
8,0,8,0,24.85816189995967,,24.829685400007293,5,24.85816189995967,24.85816189995967,0.012229700107127428,27.679666900075972,[-0.292],[0.494],[1],[0],[0],[2.837713500019163],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
9,0,9,0,27.710937600117177,,27.68182580010034,10,27.710937600117177,27.710937600117177,0.020703000016510487,31.451715300092474,[-0.11],[-0.294],[1],[0],[0],[3.749113299883902],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
10,0,10,0,31.482220200123265,,31.453876900020987,5,31.482220200123265,31.482220200123265,0.011214599944651127,33.40339750004932,[0.486],[0.066],[1],[0],[0],[1.9383057998493314],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
11,0,11,0,33.450868600048125,,33.40555080003105,10,33.450868600048125,33.450868600048125,0.02165639982558787,35.43912809994072,[0.228],[0.18],[1],[0],[0],[2.011850400129333],[],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
12,0,12,0,35.48651499999687,,35.44135380000807,10,35.48651499999687,35.48651499999687,0.021710900124162436,37.707992299925536,[-0.286],[0.26],[1],[0],[0],[2.244929699925706],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
13,0,13,0,37.73886139993556,,37.71016820007935,5,37.73886139993556,37.73886139993556,0.011340899858623743,40.928413399960846,[-0.332],[-0.372],[1],[0],[0],[3.20685109985061],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
14,0,14,0,40.97603960009292,,40.930678999982774,10,40.97603960009292,40.97603960009292,0.022155400132760406,44.13236750010401,[-0.332],[0.162],[1],[0],[0],[3.179574699839577],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
