trials.thisRepN,,,,,,,num_distr,,,,,,,,,,mouse.time,mouse.clicked_name
0,,,,,,,5,,,,,,,,,,2.0545218,target
1,,,,,,,5,,,,,,,,,,2.2908539,target
2,,,,,,,5,,,,,,,,,,3.0213904,target
3,,,,,,,5,,,,,,,,,,1.6217211,target
4,,,,,,,5,,,,,,,,,,1.4385975,target
5,,,,,,,10,,,,,,,,,,1.4276852,target
6,,,,,,,10,,,,,,,,,,1.8882306,target
7,,,,,,,10,,,,,,,,,,2.2947671,target
8,,,,,,,5,,,,,,,,,,1.916541,target
9,,,,,,,10,,,,,,,,,,2.4420069,target
10,,,,,,,5,,,,,,,,,,1.7725305,target
11,,,,,,,5,,,,,,,,,,1.6888694,target
12,,,,,,,10,,,,,,,,,,1.6243144,target
13,,,,,,,5,,,,,,,,,,1.8727636,target
14,,,,,,,5,,,,,,,,,,1.383611,target
15,,,,,,,10,,,,,,,,,,1.6122293,target
16,,,,,,,10,,,,,,,,,,1.4443936,target
17,,,,,,,5,,,,,,,,,,1.3514733,target
18,,,,,,,5,,,,,,,,,,1.438383,target
19,,,,,,,10,,,,,,,,,,1.6609871,target
20,,,,,,,5,,,,,,,,,,1.2492451,target
21,,,,,,,10,,,,,,,,,,5.1480925,target
22,,,,,,,5,,,,,,,,,,1.3894697,target
23,,,,,,,5,,,,,,,,,,1.6856981,target
24,,,,,,,5,,,,,,,,,,3.140323,target
25,,,,,,,5,,,,,,,,,,1.2382279,
26,,,,,,,10,,,,,,,,,,1.2781098,target
27,,,,,,,10,,,,,,,,,,2.0953425,target
28,,,,,,,10,,,,,,,,,,1.5949151,
29,,,,,,,10,,,,,,,,,,1.6122137,target
30,,,,,,,5,,,,,,,,,,1.6387561,target
31,,,,,,,5,,,,,,,,,,1.3715659,target
32,,,,,,,10,,,,,,,,,,1.3608341,target
33,,,,,,,5,,,,,,,,,,1.5879172,target
34,,,,,,,5,,,,,,,,,,4.4916745,target
35,,,,,,,5,,,,,,,,,,1.3551207,target
36,,,,,,,10,,,,,,,,,,1.6440929,target
37,,,,,,,5,,,,,,,,,,1.3832132,target
38,,,,,,,10,,,,,,,,,,2.3288665,target
39,,,,,,,5,,,,,,,,,,1.7682986,target
40,,,,,,,10,,,,,,,,,,1.1938709,target
41,,,,,,,10,,,,,,,,,,1.5513286,target
42,,,,,,,10,,,,,,,,,,1.3270953,target
43,,,,,,,10,,,,,,,,,,2.3962012,target
44,,,,,,,10,,,,,,,,,,2.946102,target
45,,,,,,,10,,,,,,,,,,1.761122,target
46,,,,,,,10,,,,,,,,,,1.2350158,target
47,,,,,,,10,,,,,,,,,,1.712273,target
48,,,,,,,5,,,,,,,,,,1.4048543,target
49,,,,,,,5,,,,,,,,,,1.5869382,target
50,,,,,,,5,,,,,,,,,,2.0890747,target
51,,,,,,,5,,,,,,,,,,2.0731464,target
52,,,,,,,5,,,,,,,,,,1.7218431,target
53,,,,,,,5,,,,,,,,,,1.4386059,target
54,,,,,,,5,,,,,,,,,,1.7063696,target
55,,,,,,,10,,,,,,,,,,1.9913471,target
56,,,,,,,10,,,,,,,,,,2.0193858,
57,,,,,,,10,,,,,,,,,,1.1276101,target
58,,,,,,,5,,,,,,,,,,1.4714369,
59,,,,,,,5,,,,,,,,,,1.7063718,target
60,,,,,,,10,,,,,,,,,,1.6270427,target
61,,,,,,,10,,,,,,,,,,1.5952976,target
62,,,,,,,5,,,,,,,,,,1.4340597,target
63,,,,,,,5,,,,,,,,,,1.4881789,target
64,,,,,,,5,,,,,,,,,,1.7181905,target
65,,,,,,,5,,,,,,,,,,1.68923,target
66,,,,,,,10,,,,,,,,,,1.3579921,
67,,,,,,,5,,,,,,,,,,1.45159,target
68,,,,,,,10,,,,,,,,,,1.2766918,target
69,,,,,,,5,,,,,,,,,,1.3203634,target
70,,,,,,,5,,,,,,,,,,1.5715293,target
71,,,,,,,5,,,,,,,,,,1.5861059,target
72,,,,,,,5,,,,,,,,,,1.6559365,target
73,,,,,,,10,,,,,,,,,,1.3269956,target
74,,,,,,,10,,,,,,,,,,1.7436206,target
75,,,,,,,5,,,,,,,,,,1.8008222,target
76,,,,,,,10,,,,,,,,,,1.2434307,target
77,,,,,,,10,,,,,,,,,,1.5774382,
78,,,,,,,10,,,,,,,,,,1.473887,target
79,,,,,,,5,,,,,,,,,,1.2862441,
80,,,,,,,5,,,,,,,,,,1.8030305,target
81,,,,,,,10,,,,,,,,,,1.1597756,target
82,,,,,,,10,,,,,,,,,,1.6593696,target
83,,,,,,,5,,,,,,,,,,1.4720411,target
84,,,,,,,10,,,,,,,,,,1.2778903,target
85,,,,,,,10,,,,,,,,,,1.4104272,target
86,,,,,,,10,,,,,,,,,,1.5939485,target
87,,,,,,,10,,,,,,,,,,1.4188808,target
88,,,,,,,5,,,,,,,,,,1.3052878,target
89,,,,,,,5,,,,,,,,,,2.154413,target
90,,,,,,,5,,,,,,,,,,1.6388216,
91,,,,,,,5,,,,,,,,,,1.4056193,target
92,,,,,,,10,,,,,,,,,,4.0636178,target
93,,,,,,,10,,,,,,,,,,1.3111888,target
94,,,,,,,5,,,,,,,,,,1.532437,target
95,,,,,,,5,,,,,,,,,,1.4217546,target
96,,,,,,,10,,,,,,,,,,1.5253247,target
97,,,,,,,10,,,,,,,,,,2.6756751,target
98,,,,,,,5,,,,,,,,,,1.3214825,target
99,,,,,,,5,,,,,,,,,,1.3543658,target
100,,,,,,,5,,,,,,,,,,1.1889085,target
101,,,,,,,10,,,,,,,,,,2.4117425,
102,,,,,,,10,,,,,,,,,,2.076991,target
103,,,,,,,5,,,,,,,,,,1.6723402,target
104,,,,,,,5,,,,,,,,,,1.3217292,
105,,,,,,,10,,,,,,,,,,1.362166,target
106,,,,,,,5,,,,,,,,,,1.438128,
107,,,,,,,5,,,,,,,,,,1.5525874,target
108,,,,,,,10,,,,,,,,,,1.1617847,target
109,,,,,,,5,,,,,,,,,,1.0217568,target
110,,,,,,,5,,,,,,,,,,1.3040867,target
111,,,,,,,10,,,,,,,,,,1.2767408,target
112,,,,,,,10,,,,,,,,,,1.6429612,target
113,,,,,,,5,,,,,,,,,,1.1891245,target
114,,,,,,,5,,,,,,,,,,1.8393908,target
115,,,,,,,5,,,,,,,,,,1.3166277,target
116,,,,,,,10,,,,,,,,,,1.2447993,target
117,,,,,,,5,,,,,,,,,,2.316776,target
118,,,,,,,10,,,,,,,,,,1.5276281,target
119,,,,,,,5,,,,,,,,,,1.6023863,target
120,,,,,,,10,,,,,,,,,,1.6241071,target
121,,,,,,,5,,,,,,,,,,1.3728576,target
122,,,,,,,5,,,,,,,,,,1.6371327,
123,,,,,,,5,,,,,,,,,,1.5053036,target
124,,,,,,,10,,,,,,,,,,1.3105854,target
125,,,,,,,10,,,,,,,,,,2.5937798,target
126,,,,,,,5,,,,,,,,,,1.3054479,target
127,,,,,,,5,,,,,,,,,,1.2315927,
128,,,,,,,10,,,,,,,,,,1.2611982,
129,,,,,,,10,,,,,,,,,,1.744686,target
130,,,,,,,5,,,,,,,,,,1.4892109,target
131,,,,,,,10,,,,,,,,,,1.6577398,target
132,,,,,,,5,,,,,,,,,,1.5870712,
133,,,,,,,5,,,,,,,,,,1.4975829,target
134,,,,,,,5,,,,,,,,,,1.3379345,
135,,,,,,,5,,,,,,,,,,1.2214401,target
136,,,,,,,5,,,,,,,,,,1.2693733,target
137,,,,,,,10,,,,,,,,,,1.5768025,target
138,,,,,,,5,,,,,,,,,,1.1557282,target
139,,,,,,,5,,,,,,,,,,2.3219665,target
140,,,,,,,10,,,,,,,,,,1.5562673,target
141,,,,,,,10,,,,,,,,,,1.4094914,
142,,,,,,,10,,,,,,,,,,1.3422186,
143,,,,,,,5,,,,,,,,,,2.0373564,target
144,,,,,,,5,,,,,,,,,,1.8219139,
145,,,,,,,5,,,,,,,,,,1.1189589,target
146,,,,,,,5,,,,,,,,,,1.2213,
147,,,,,,,5,,,,,,,,,,1.1545505,target
148,,,,,,,10,,,,,,,,,,1.2776277,target
149,,,,,,,10,,,,,,,,,,1.4583075,target
150,,,,,,,5,,,,,,,,,,1.4877899,target
151,,,,,,,10,,,,,,,,,,1.5606885,target
152,,,,,,,5,,,,,,,,,,1.5225683,target
153,,,,,,,10,,,,,,,,,,1.6945363,target
154,,,,,,,5,,,,,,,,,,1.4877393,
155,,,,,,,5,,,,,,,,,,1.6848831,target
156,,,,,,,5,,,,,,,,,,1.4711269,target
157,,,,,,,5,,,,,,,,,,1.6558679,
158,,,,,,,10,,,,,,,,,,1.4097661,target
159,,,,,,,10,,,,,,,,,,1.6582213,target
160,,,,,,,10,,,,,,,,,,1.6807797,target
161,,,,,,,5,,,,,,,,,,1.0705471,target
162,,,,,,,5,,,,,,,,,,1.9048723,
163,,,,,,,5,,,,,,,,,,1.2388283,
164,,,,,,,10,,,,,,,,,,3.2458678,target
165,,,,,,,5,,,,,,,,,,1.9723354,target
166,,,,,,,10,,,,,,,,,,2.0011599,target
167,,,,,,,10,,,,,,,,,,1.4259878,target
168,,,,,,,5,,,,,,,,,,1.2559921,target
169,,,,,,,5,,,,,,,,,,1.5213873,target
170,,,,,,,5,,,,,,,,,,2.0890509,target
171,,,,,,,10,,,,,,,,,,1.0770845,target
172,,,,,,,10,,,,,,,,,,1.3109698,target
173,,,,,,,5,,,,,,,,,,1.4722825,target
174,,,,,,,5,,,,,,,,,,1.3485525,target
175,,,,,,,10,,,,,,,,,,1.3778388,target
176,,,,,,,5,,,,,,,,,,1.3678171,target
177,,,,,,,5,,,,,,,,,,1.2725553,target
178,,,,,,,10,,,,,,,,,,1.3271104,target
179,,,,,,,5,,,,,,,,,,1.4850384,target
180,,,,,,,5,,,,,,,,,,1.4710237,target
181,,,,,,,10,,,,,,,,,,1.1749227,target
182,,,,,,,5,,,,,,,,,,1.7715812,target
183,,,,,,,10,,,,,,,,,,1.0261219,target
184,,,,,,,10,,,,,,,,,,1.4114652,target
185,,,,,,,5,,,,,,,,,,1.4379891,target
186,,,,,,,5,,,,,,,,,,1.7055132,
187,,,,,,,10,,,,,,,,,,1.0577031,target
188,,,,,,,5,,,,,,,,,,1.3083675,target
189,,,,,,,10,,,,,,,,,,1.2587893,target
190,,,,,,,10,,,,,,,,,,1.5596512,target
191,,,,,,,5,,,,,,,,,,1.371106,target
192,,,,,,,10,,,,,,,,,,1.2759551,target
193,,,,,,,5,,,,,,,,,,1.7766434,target
194,,,,,,,5,,,,,,,,,,1.4386752,target
195,,,,,,,5,,,,,,,,,,1.7719119,target
196,,,,,,,5,,,,,,,,,,1.2884217,target
197,,,,,,,5,,,,,,,,,,1.5546815,target
198,,,,,,,5,,,,,,,,,,1.188821,target
199,,,,,,,10,,,,,,,,,,1.7604574,
